market_id,interval,open_time,close_time,open_price,high_price,low_price,close_price,volume,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,inserted_at
297,5m,2025-05-01 00:00:00.000000 +00:00,2025-05-01 00:04:59.999000 +00:00,0.6816000000,0.6832000000,0.6814000000,0.6830000000,228935.2000000000,156141.7005400000,625,137371.5000000000,93723.3998300000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 00:05:00.000000 +00:00,2025-05-01 00:09:59.999000 +00:00,0.6830000000,0.6838000000,0.6823000000,0.6838000000,66722.8000000000,45572.0015400000,462,34767.2000000000,23752.8583900000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 00:10:00.000000 +00:00,2025-05-01 00:14:59.999000 +00:00,0.6838000000,0.6849000000,0.6838000000,0.6843000000,227400.5000000000,155627.8031500000,565,134531.7000000000,92067.1393800000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 00:15:00.000000 +00:00,2025-05-01 00:19:59.999000 +00:00,0.6844000000,0.6853000000,0.6842000000,0.6853000000,142240.6000000000,97409.1484100000,535,39331.4000000000,26935.4502700000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 00:20:00.000000 +00:00,2025-05-01 00:24:59.999000 +00:00,0.6854000000,0.6858000000,0.6845000000,0.6856000000,71141.3000000000,48751.2311000000,371,31494.1000000000,21579.8239900000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 00:25:00.000000 +00:00,2025-05-01 00:29:59.999000 +00:00,0.6856000000,0.6864000000,0.6852000000,0.6854000000,72119.7000000000,49447.0779700000,353,36259.8000000000,24864.6479900000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 00:30:00.000000 +00:00,2025-05-01 00:34:59.999000 +00:00,0.6853000000,0.6857000000,0.6845000000,0.6856000000,80686.8000000000,55287.8637500000,447,24562.6000000000,16828.6367200000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 00:35:00.000000 +00:00,2025-05-01 00:39:59.999000 +00:00,0.6855000000,0.6860000000,0.6849000000,0.6854000000,107849.4000000000,73945.7204900000,347,70956.8000000000,48658.7523400000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 00:40:00.000000 +00:00,2025-05-01 00:44:59.999000 +00:00,0.6855000000,0.6859000000,0.6852000000,0.6855000000,155208.9000000000,106416.0805300000,334,50653.4000000000,34731.0762200000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 00:45:00.000000 +00:00,2025-05-01 00:49:59.999000 +00:00,0.6855000000,0.6869000000,0.6854000000,0.6862000000,194191.5000000000,133271.5856900000,478,120562.4000000000,82737.8543000000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 00:50:00.000000 +00:00,2025-05-01 00:54:59.999000 +00:00,0.6862000000,0.6872000000,0.6859000000,0.6867000000,227108.0000000000,155980.6375900000,425,135248.1000000000,92882.5257000000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 00:55:00.000000 +00:00,2025-05-01 00:59:59.999000 +00:00,0.6867000000,0.6867000000,0.6855000000,0.6857000000,127230.2000000000,87282.5901600000,388,28413.8000000000,19493.0881900000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 01:00:00.000000 +00:00,2025-05-01 01:04:59.999000 +00:00,0.6858000000,0.6883000000,0.6856000000,0.6882000000,220161.4000000000,151316.2923000000,556,206286.2000000000,141777.3415200000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 01:05:00.000000 +00:00,2025-05-01 01:09:59.999000 +00:00,0.6883000000,0.6892000000,0.6878000000,0.6883000000,374513.0000000000,257863.6612700000,728,260691.7000000000,179507.9438200000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 01:10:00.000000 +00:00,2025-05-01 01:14:59.999000 +00:00,0.6883000000,0.6884000000,0.6875000000,0.6881000000,66047.1000000000,45430.1889700000,384,44567.5000000000,30655.3809500000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 01:15:00.000000 +00:00,2025-05-01 01:19:59.999000 +00:00,0.6881000000,0.6894000000,0.6879000000,0.6879000000,295783.2000000000,203744.7185400000,677,182810.4000000000,125928.0090700000,2026-01-06 08:50:45.802252 +00:00
